Crag;name_link;href;Country;routes;lat;long
Hochschwab;austria;/crags/sportclimbing/austria/hochschwab;Austria;218;45.089040;20.390620
R.K.;austria;/crags/sportclimbing/austria/r-k;Austria;70;47.911320;14.204150
Gaisberg;austria;/crags/sportclimbing/austria/gaisberg;Austria;62;47.068020;15.382920
Hängender Stein;austria;/crags/sportclimbing/austria/haengender-stein;Austria;113;47.177110;9.781870
Krimmler Falkenstein;austria;/crags/sportclimbing/austria/krimmler-falkenstein;Austria;79;47.228890;12.167360
Wilder Kaiser;austria;/crags/sportclimbing/austria/wilder-kaiser;Austria;109;47.564310;12.310000
Tiefenbach;austria;/crags/sportclimbing/austria/tiefenbach;Austria;87;48.215138;14.859234
Weißbach;austria;/crags/sportclimbing/austria/weissbach;Austria;112;47.524060;12.753910
Kapfenberg;austria;/crags/sportclimbing/austria/kapfenberg;Austria;56;47.444340;15.287820
Nordkette;austria;/crags/sportclimbing/austria/nordkette;Austria;54;47.30754;11.37812
Zillertal;austria;/crags/sportclimbing/austria/zillertal-f3897-verrev;Austria;57;47.166610;11.862490
